Lab,Num,gGSP,RMSD,TM-score,INF_all,lDDT,Target,Type
dingpreexp,1,29.564,9.507,0.283,0.672,0.467,PZ14Free,Riboswitch
dingpreexp,2,22.405,17.758,0.255,0.735,0.449,PZ14Free,Riboswitch
dingpreexp,3,21.631,20.17,0.279,0.714,0.459,PZ14Free,Riboswitch
dingpreexp,4,34.408,8.931,0.321,0.728,0.515,PZ14Free,Riboswitch
3drnaas2,10,12.484,24.643,0.226,0.66,0.368,PZ15,Ribozyme
3drnaas2,1,12.314,24.676,0.226,0.666,0.367,PZ15,Ribozyme
3drnaas2,2,12.482,24.568,0.226,0.67,0.375,PZ15,Ribozyme
3drnaas2,3,12.482,24.604,0.227,0.656,0.364,PZ15,Ribozyme
3drnaas2,4,12.482,24.575,0.227,0.66,0.37,PZ15,Ribozyme
3drnaas2,5,12.482,24.592,0.227,0.67,0.364,PZ15,Ribozyme
3drnaas2,6,12.425,24.631,0.227,0.66,0.363,PZ15,Ribozyme
3drnaas2,7,12.482,24.592,0.227,0.675,0.369,PZ15,Ribozyme
3drnaas2,8,11.796,24.782,0.226,0.666,0.372,PZ15,Ribozyme
3drnaas2,9,12.462,24.601,0.226,0.66,0.369,PZ15,Ribozyme
adamiak,10,53.661,6.58,0.347,0.753,0.593,PZ15,Ribozyme
adamiak,1,39.425,9.005,0.278,0.684,0.531,PZ15,Ribozyme
adamiak,2,59.472,8.088,0.566,0.842,0.771,PZ15,Ribozyme
adamiak,3,58.965,8.348,0.565,0.811,0.758,PZ15,Ribozyme
adamiak,4,50.564,8.673,0.299,0.742,0.613,PZ15,Ribozyme
adamiak,5,45.228,8.576,0.283,0.736,0.576,PZ15,Ribozyme
adamiak,6,53.375,8.863,0.355,0.781,0.623,PZ15,Ribozyme
adamiak,7,55.197,8.449,0.377,0.759,0.621,PZ15,Ribozyme
adamiak,8,61.581,6.454,0.302,0.735,0.588,PZ15,Ribozyme
adamiak,9,25.731,7.769,0.22,0.727,0.536,PZ15,Ribozyme
chen,10,23.745,9.354,0.245,0.692,0.429,PZ15,Ribozyme
chen,1,21.044,9.448,0.307,0.735,0.544,PZ15,Ribozyme
chen,2,16.667,15.701,0.208,0.698,0.511,PZ15,Ribozyme
chen,3,51.488,8.748,0.438,0.77,0.686,PZ15,Ribozyme
chen,4,20.897,10.082,0.351,0.764,0.505,PZ15,Ribozyme
chen,5,16.004,16.062,0.314,0.704,0.518,PZ15,Ribozyme
chen,6,45.617,8.514,0.321,0.707,0.538,PZ15,Ribozyme
chen,7,19.069,11.132,0.266,0.685,0.505,PZ15,Ribozyme
chen,8,22.864,12.098,0.243,0.667,0.426,PZ15,Ribozyme
chen,9,16.202,13.432,0.221,0.641,0.455,PZ15,Ribozyme
rnacomposeras1,1,59.472,8.088,0.566,0.842,0.771,PZ15,Ribozyme
rnacomposeras1,2,58.965,8.348,0.565,0.811,0.758,PZ15,Ribozyme
rnacomposeras2,1,50.564,8.673,0.299,0.742,0.613,PZ15,Ribozyme
rnacomposeras2,2,45.228,8.576,0.283,0.736,0.576,PZ15,Ribozyme
rw3das1,10,12.176,17.039,0.244,0.662,0.516,PZ15,Ribozyme
rw3das1,1,13.782,16.062,0.227,0.723,0.517,PZ15,Ribozyme
rw3das1,2,13.757,14.758,0.265,0.719,0.541,PZ15,Ribozyme
rw3das1,3,15.502,14.221,0.229,0.716,0.533,PZ15,Ribozyme
rw3das1,4,15.556,13.496,0.244,0.658,0.532,PZ15,Ribozyme
rw3das1,5,15.131,11.251,0.181,0.706,0.542,PZ15,Ribozyme
rw3das1,6,15.196,14.415,0.242,0.671,0.524,PZ15,Ribozyme
rw3das1,7,14.581,13.861,0.266,0.68,0.542,PZ15,Ribozyme
rw3das1,8,13.349,19.06,0.366,0.651,0.515,PZ15,Ribozyme
rw3das1,9,13.502,13.54,0.255,0.689,0.538,PZ15,Ribozyme
rw3das2,10,24.476,14.403,0.344,0.748,0.569,PZ15,Ribozyme
rw3das2,1,20.959,12.08,0.23,0.715,0.586,PZ15,Ribozyme
rw3das2,2,16.465,16.389,0.257,0.672,0.541,PZ15,Ribozyme
rw3das2,3,16.772,16.264,0.254,0.66,0.545,PZ15,Ribozyme
rw3das2,4,21.778,10.162,0.221,0.68,0.538,PZ15,Ribozyme
rw3das2,5,19.818,10.893,0.273,0.663,0.549,PZ15,Ribozyme
rw3das2,6,16.287,17.945,0.296,0.672,0.526,PZ15,Ribozyme
rw3das2,7,16.601,13.68,0.256,0.653,0.526,PZ15,Ribozyme
rw3das2,8,17.248,13.349,0.238,0.667,0.514,PZ15,Ribozyme
rw3das2,9,19.888,14.639,0.359,0.71,0.552,PZ15,Ribozyme
simrnaas1,10,15.717,19.401,0.203,0.662,0.031,PZ15,Ribozyme
simrnaas1,1,43.741,7.121,0.282,0.702,0.067,PZ15,Ribozyme
simrnaas1,2,10.781,20.674,0.193,0.601,0.018,PZ15,Ribozyme
simrnaas1,3,9.875,17.02,0.158,0.375,0.024,PZ15,Ribozyme
simrnaas1,4,7.271,24.154,0.222,0.524,0.053,PZ15,Ribozyme
simrnaas1,5,10.178,20.891,0.226,0.605,0.014,PZ15,Ribozyme
simrnaas1,6,8.597,22.155,0.181,0.462,0.023,PZ15,Ribozyme
simrnaas1,7,19.857,18.257,0.232,0.644,0.051,PZ15,Ribozyme
simrnaas1,8,14.36,19.922,0.207,0.662,0.057,PZ15,Ribozyme
simrnaas1,9,14.856,19.078,0.206,0.705,0.043,PZ15,Ribozyme
simrnaas2,10,17.148,19.431,0.226,0.693,0.049,PZ15,Ribozyme
simrnaas2,1,21.016,14.99,0.262,0.715,0.029,PZ15,Ribozyme
simrnaas2,2,19.837,18.702,0.24,0.724,0.066,PZ15,Ribozyme
simrnaas2,3,16.658,19.784,0.211,0.693,0.023,PZ15,Ribozyme
simrnaas2,4,24.552,11.361,0.25,0.686,0.092,PZ15,Ribozyme
simrnaas2,5,20.101,19.992,0.278,0.717,0.05,PZ15,Ribozyme
simrnaas2,6,15.086,20.411,0.271,0.69,0.02,PZ15,Ribozyme
simrnaas2,7,22.745,9.34,0.254,0.644,0.032,PZ15,Ribozyme
simrnaas2,8,15.264,21.993,0.214,0.711,0.018,PZ15,Ribozyme
simrnaas2,9,22.781,13.842,0.263,0.693,0.016,PZ15,Ribozyme
3drnaas2,10,12.538,18.559,0.226,0.731,0.369,PZ15noend,Ribozyme
3drnaas2,1,12.368,18.554,0.226,0.731,0.367,PZ15noend,Ribozyme
3drnaas2,2,12.482,18.551,0.226,0.731,0.375,PZ15noend,Ribozyme
3drnaas2,3,12.482,18.549,0.227,0.731,0.364,PZ15noend,Ribozyme
3drnaas2,4,12.535,18.552,0.227,0.731,0.37,PZ15noend,Ribozyme
3drnaas2,5,12.535,18.549,0.227,0.731,0.364,PZ15noend,Ribozyme
3drnaas2,6,12.535,18.55,0.227,0.731,0.363,PZ15noend,Ribozyme
3drnaas2,7,12.482,18.554,0.227,0.731,0.369,PZ15noend,Ribozyme
3drnaas2,8,12.099,18.552,0.226,0.731,0.372,PZ15noend,Ribozyme
3drnaas2,9,12.516,18.549,0.226,0.731,0.369,PZ15noend,Ribozyme
adamiak,10,53.706,4.924,0.347,0.821,0.594,PZ15noend,Ribozyme
adamiak,1,39.425,5.821,0.278,0.721,0.531,PZ15noend,Ribozyme
adamiak,2,59.518,3.609,0.566,0.903,0.773,PZ15noend,Ribozyme
adamiak,3,58.801,3.634,0.565,0.861,0.759,PZ15noend,Ribozyme
adamiak,4,50.66,4.645,0.299,0.78,0.614,PZ15noend,Ribozyme
adamiak,5,45.274,5.11,0.283,0.778,0.577,PZ15noend,Ribozyme
adamiak,6,53.329,4.311,0.355,0.807,0.624,PZ15noend,Ribozyme
adamiak,7,55.242,4.324,0.377,0.816,0.622,PZ15noend,Ribozyme
adamiak,8,61.581,4.767,0.302,0.811,0.589,PZ15noend,Ribozyme
adamiak,9,25.833,6.238,0.22,0.772,0.537,PZ15noend,Ribozyme
chen,10,23.665,6.95,0.245,0.707,0.429,PZ15noend,Ribozyme
chen,1,21.081,7.635,0.307,0.775,0.544,PZ15noend,Ribozyme
chen,2,16.667,13.363,0.208,0.716,0.511,PZ15noend,Ribozyme
chen,3,51.488,4.375,0.438,0.837,0.686,PZ15noend,Ribozyme
chen,4,20.897,7.999,0.351,0.816,0.506,PZ15noend,Ribozyme
chen,5,16.004,14.078,0.314,0.748,0.518,PZ15noend,Ribozyme
chen,6,45.617,4.831,0.321,0.728,0.537,PZ15noend,Ribozyme
chen,7,19.069,10.046,0.266,0.679,0.505,PZ15noend,Ribozyme
chen,8,22.784,7.373,0.243,0.704,0.426,PZ15noend,Ribozyme
chen,9,16.202,9.578,0.221,0.711,0.455,PZ15noend,Ribozyme
rnacomposeras1,1,59.518,3.609,0.566,0.903,0.773,PZ15noend,Ribozyme
rnacomposeras1,2,58.801,3.634,0.565,0.861,0.759,PZ15noend,Ribozyme
rnacomposeras2,1,50.66,4.645,0.299,0.78,0.614,PZ15noend,Ribozyme
rnacomposeras2,2,45.274,5.11,0.283,0.778,0.577,PZ15noend,Ribozyme
rw3das1,10,12.176,15.861,0.244,0.683,0.518,PZ15noend,Ribozyme
rw3das1,1,13.782,14.493,0.227,0.75,0.518,PZ15noend,Ribozyme
rw3das1,2,13.757,11.789,0.265,0.732,0.542,PZ15noend,Ribozyme
rw3das1,3,15.644,12.256,0.229,0.726,0.535,PZ15noend,Ribozyme
rw3das1,4,15.556,13.42,0.244,0.656,0.533,PZ15noend,Ribozyme
rw3das1,5,15.273,10.425,0.181,0.726,0.544,PZ15noend,Ribozyme
rw3das1,6,15.196,14.741,0.242,0.689,0.526,PZ15noend,Ribozyme
rw3das1,7,14.629,14.468,0.266,0.688,0.543,PZ15noend,Ribozyme
rw3das1,8,13.397,19.036,0.366,0.683,0.517,PZ15noend,Ribozyme
rw3das1,9,13.502,13.649,0.255,0.722,0.539,PZ15noend,Ribozyme
rw3das2,10,24.476,8.691,0.344,0.781,0.569,PZ15noend,Ribozyme
rw3das2,1,20.959,10.025,0.23,0.736,0.586,PZ15noend,Ribozyme
rw3das2,2,16.508,17.286,0.257,0.693,0.541,PZ15noend,Ribozyme
rw3das2,3,16.772,16.765,0.254,0.682,0.545,PZ15noend,Ribozyme
rw3das2,4,21.778,10.054,0.221,0.678,0.538,PZ15noend,Ribozyme
rw3das2,5,19.818,9.265,0.273,0.694,0.548,PZ15noend,Ribozyme
rw3das2,6,16.287,16.209,0.296,0.709,0.526,PZ15noend,Ribozyme
rw3das2,7,16.601,7.845,0.256,0.678,0.525,PZ15noend,Ribozyme
rw3das2,8,17.248,13.181,0.238,0.678,0.514,PZ15noend,Ribozyme
rw3das2,9,19.888,12.265,0.359,0.734,0.552,PZ15noend,Ribozyme
simrnaas1,10,15.717,16.094,0.203,0.68,0.031,PZ15noend,Ribozyme
simrnaas1,1,43.911,5.201,0.282,0.72,0.067,PZ15noend,Ribozyme
simrnaas1,2,10.781,17.809,0.193,0.686,0.02,PZ15noend,Ribozyme
simrnaas1,3,9.9,18.3,0.158,0.323,0.024,PZ15noend,Ribozyme
simrnaas1,4,7.271,15.459,0.222,0.543,0.053,PZ15noend,Ribozyme
simrnaas1,5,10.232,18.731,0.226,0.657,0.014,PZ15noend,Ribozyme
simrnaas1,6,8.597,23.763,0.181,0.427,0.023,PZ15noend,Ribozyme
simrnaas1,7,19.857,15.083,0.232,0.683,0.051,PZ15noend,Ribozyme
simrnaas1,8,14.36,19.596,0.207,0.679,0.057,PZ15noend,Ribozyme
simrnaas1,9,14.856,15.124,0.206,0.728,0.043,PZ15noend,Ribozyme
simrnaas2,10,17.205,16.066,0.226,0.719,0.049,PZ15noend,Ribozyme
simrnaas2,1,21.112,11.974,0.262,0.765,0.029,PZ15noend,Ribozyme
simrnaas2,2,19.837,15.319,0.24,0.746,0.066,PZ15noend,Ribozyme
simrnaas2,3,16.658,17.695,0.211,0.719,0.023,PZ15noend,Ribozyme
simrnaas2,4,24.736,8.093,0.25,0.718,0.092,PZ15noend,Ribozyme
simrnaas2,5,20.186,15.46,0.278,0.732,0.05,PZ15noend,Ribozyme
simrnaas2,6,15.086,20.075,0.271,0.739,0.02,PZ15noend,Ribozyme
simrnaas2,7,22.745,9.138,0.254,0.685,0.032,PZ15noend,Ribozyme
simrnaas2,8,15.264,20.128,0.214,0.765,0.018,PZ15noend,Ribozyme
simrnaas2,9,22.781,10.49,0.263,0.736,0.016,PZ15noend,Ribozyme
3drnaas2,10,14.55,25.09,0.226,0.75,0.394,PZ15reconstruct,Ribozyme
3drnaas2,1,14.244,25.122,0.226,0.742,0.391,PZ15reconstruct,Ribozyme
3drnaas2,2,14.768,25.024,0.226,0.758,0.404,PZ15reconstruct,Ribozyme
3drnaas2,3,14.576,25.053,0.227,0.742,0.389,PZ15reconstruct,Ribozyme
3drnaas2,4,14.805,25.031,0.227,0.75,0.398,PZ15reconstruct,Ribozyme
3drnaas2,5,14.714,25.044,0.227,0.758,0.393,PZ15reconstruct,Ribozyme
3drnaas2,6,14.513,25.058,0.227,0.736,0.388,PZ15reconstruct,Ribozyme
3drnaas2,7,14.697,25.038,0.227,0.75,0.396,PZ15reconstruct,Ribozyme
3drnaas2,8,13.896,25.191,0.226,0.742,0.395,PZ15reconstruct,Ribozyme
3drnaas2,9,14.661,25.055,0.226,0.75,0.397,PZ15reconstruct,Ribozyme
adamiak,10,80.367,4.74,0.347,0.816,0.619,PZ15reconstruct,Ribozyme
adamiak,1,43.865,7.312,0.278,0.763,0.56,PZ15reconstruct,Ribozyme
adamiak,3,65.465,5.497,0.565,0.865,0.79,PZ15reconstruct,Ribozyme
adamiak,4,55.352,6.04,0.299,0.791,0.632,PZ15reconstruct,Ribozyme
adamiak,5,49.901,5.931,0.283,0.804,0.606,PZ15reconstruct,Ribozyme
adamiak,6,58.041,6.146,0.355,0.832,0.647,PZ15reconstruct,Ribozyme
adamiak,7,60.495,5.927,0.377,0.818,0.641,PZ15reconstruct,Ribozyme
adamiak,8,89.323,4.626,0.302,0.814,0.616,PZ15reconstruct,Ribozyme
adamiak,9,35.368,6.041,0.22,0.813,0.566,PZ15reconstruct,Ribozyme
chen,10,26.34,8.388,0.245,0.755,0.452,PZ15reconstruct,Ribozyme
chen,1,25.402,7.822,0.307,0.794,0.56,PZ15reconstruct,Ribozyme
chen,2,20.815,16.074,0.208,0.757,0.532,PZ15reconstruct,Ribozyme
chen,3,56.792,5.83,0.438,0.841,0.711,PZ15reconstruct,Ribozyme
chen,4,24.779,8.869,0.351,0.812,0.525,PZ15reconstruct,Ribozyme
chen,5,20.313,16.635,0.314,0.767,0.54,PZ15reconstruct,Ribozyme
chen,6,50.734,5.869,0.321,0.75,0.565,PZ15reconstruct,Ribozyme
chen,7,23.997,9.9,0.266,0.719,0.535,PZ15reconstruct,Ribozyme
chen,8,25.912,11.232,0.243,0.687,0.458,PZ15reconstruct,Ribozyme
chen,9,18.415,12.422,0.221,0.686,0.472,PZ15reconstruct,Ribozyme
rnacomposeras1,2,65.465,5.497,0.565,0.865,0.79,PZ15reconstruct,Ribozyme
rnacomposeras2,1,55.352,6.04,0.299,0.791,0.632,PZ15reconstruct,Ribozyme
rnacomposeras2,2,49.901,5.931,0.283,0.804,0.606,PZ15reconstruct,Ribozyme
rw3das1,10,16.511,17.797,0.244,0.728,0.548,PZ15reconstruct,Ribozyme
rw3das1,1,18.338,16.136,0.227,0.786,0.548,PZ15reconstruct,Ribozyme
rw3das1,2,19.16,15.918,0.265,0.783,0.571,PZ15reconstruct,Ribozyme
rw3das1,3,20.316,13.572,0.229,0.759,0.566,PZ15reconstruct,Ribozyme
rw3das1,4,20.243,13.461,0.244,0.702,0.561,PZ15reconstruct,Ribozyme
rw3das1,5,19.789,10.708,0.181,0.776,0.573,PZ15reconstruct,Ribozyme
rw3das1,6,19.818,14.428,0.242,0.742,0.555,PZ15reconstruct,Ribozyme
rw3das1,7,19.826,14.114,0.266,0.74,0.573,PZ15reconstruct,Ribozyme
rw3das1,8,17.709,20.079,0.366,0.722,0.55,PZ15reconstruct,Ribozyme
rw3das1,9,18.542,13.927,0.255,0.759,0.567,PZ15reconstruct,Ribozyme
rw3das2,10,28.973,13.608,0.344,0.812,0.6,PZ15reconstruct,Ribozyme
rw3das2,1,26.335,10.237,0.23,0.783,0.616,PZ15reconstruct,Ribozyme
rw3das2,2,21.135,16.793,0.257,0.746,0.569,PZ15reconstruct,Ribozyme
rw3das2,3,21.693,16.414,0.254,0.709,0.572,PZ15reconstruct,Ribozyme
rw3das2,4,25.213,10.675,0.221,0.74,0.567,PZ15reconstruct,Ribozyme
rw3das2,5,24.966,9.811,0.273,0.735,0.579,PZ15reconstruct,Ribozyme
rw3das2,6,20.659,19.236,0.296,0.743,0.552,PZ15reconstruct,Ribozyme
rw3das2,7,19.741,13.046,0.256,0.712,0.551,PZ15reconstruct,Ribozyme
rw3das2,8,21.79,12.89,0.238,0.735,0.542,PZ15reconstruct,Ribozyme
rw3das2,9,22.288,13.317,0.359,0.774,0.58,PZ15reconstruct,Ribozyme
simrnaas1,10,20.328,20.24,0.203,0.729,0.026,PZ15reconstruct,Ribozyme
simrnaas1,1,48.442,5.945,0.282,0.731,0.073,PZ15reconstruct,Ribozyme
simrnaas1,2,8.787,20.349,0.193,0.596,0.018,PZ15reconstruct,Ribozyme
simrnaas1,3,14.224,17.508,0.158,0.444,0.026,PZ15reconstruct,Ribozyme
simrnaas1,4,5.67,22.909,0.222,0.495,0.053,PZ15reconstruct,Ribozyme
simrnaas1,5,8.515,20.353,0.226,0.586,0.014,PZ15reconstruct,Ribozyme
simrnaas1,6,13.561,22.113,0.181,0.523,0.023,PZ15reconstruct,Ribozyme
simrnaas1,7,24.739,18.163,0.232,0.713,0.051,PZ15reconstruct,Ribozyme
simrnaas1,8,17.845,21.144,0.207,0.714,0.068,PZ15reconstruct,Ribozyme
simrnaas1,9,19.245,17.653,0.206,0.765,0.043,PZ15reconstruct,Ribozyme
simrnaas2,10,21.886,19.851,0.226,0.747,0.052,PZ15reconstruct,Ribozyme
simrnaas2,1,26.74,13.617,0.262,0.769,0.026,PZ15reconstruct,Ribozyme
simrnaas2,2,24.819,18.359,0.24,0.776,0.067,PZ15reconstruct,Ribozyme
simrnaas2,3,21.373,19.844,0.211,0.762,0.02,PZ15reconstruct,Ribozyme
simrnaas2,4,31.392,9.411,0.25,0.749,0.089,PZ15reconstruct,Ribozyme
simrnaas2,5,23.391,19.511,0.278,0.766,0.053,PZ15reconstruct,Ribozyme
simrnaas2,6,17.389,20.255,0.271,0.751,0.019,PZ15reconstruct,Ribozyme
simrnaas2,7,29.134,9.039,0.254,0.709,0.031,PZ15reconstruct,Ribozyme
simrnaas2,8,17.769,21.91,0.214,0.779,0.029,PZ15reconstruct,Ribozyme
simrnaas2,9,29.633,12.238,0.263,0.759,0.013,PZ15reconstruct,Ribozyme
3drnaas2,10,86.612,4.445,0.3,0.751,0.699,PZ16a,Synthetic construct
3drnaas2,1,42.275,5.729,0.314,0.858,0.719,PZ16a,Synthetic construct
3drnaas2,2,76.358,4.833,0.306,0.841,0.676,PZ16a,Synthetic construct
3drnaas2,3,76.358,4.833,0.306,0.841,0.676,PZ16a,Synthetic construct
3drnaas2,4,46.657,5.091,0.297,0.841,0.727,PZ16a,Synthetic construct
3drnaas2,5,80.625,4.708,0.299,0.748,0.663,PZ16a,Synthetic construct
3drnaas2,6,100.0,1.92,0.315,0.877,0.792,PZ16a,Synthetic construct
3drnaas2,7,100.0,2.912,0.307,0.843,0.772,PZ16a,Synthetic construct
3drnaas2,8,100.0,2.912,0.307,0.843,0.772,PZ16a,Synthetic construct
3drnaas2,9,86.612,4.445,0.3,0.751,0.699,PZ16a,Synthetic construct
chen,10,5.488,15.237,0.172,0.475,0.307,PZ16a,Synthetic construct
chen,3,26.797,7.344,0.229,0.643,0.49,PZ16a,Synthetic construct
chen,4,30.8,7.254,0.201,0.608,0.48,PZ16a,Synthetic construct
chen,6,3.904,15.926,0.117,0.472,0.312,PZ16a,Synthetic construct
chen,7,3.368,16.867,0.13,0.393,0.288,PZ16a,Synthetic construct
chen,8,3.361,15.75,0.117,0.283,0.262,PZ16a,Synthetic construct
chen,9,4.16,15.496,0.108,0.275,0.254,PZ16a,Synthetic construct
lee,10,39.449,5.383,0.222,0.648,0.547,PZ16a,Synthetic construct
lee,1,93.313,4.605,0.26,0.713,0.608,PZ16a,Synthetic construct
lee,2,99.565,3.551,0.293,0.72,0.648,PZ16a,Synthetic construct
lee,3,97.895,4.711,0.273,0.74,0.596,PZ16a,Synthetic construct
lee,4,99.436,3.957,0.249,0.716,0.606,PZ16a,Synthetic construct
lee,5,48.227,5.288,0.291,0.728,0.65,PZ16a,Synthetic construct
lee,6,97.324,4.416,0.253,0.701,0.586,PZ16a,Synthetic construct
lee,7,98.558,4.558,0.262,0.72,0.604,PZ16a,Synthetic construct
lee,8,32.463,5.405,0.257,0.74,0.569,PZ16a,Synthetic construct
lee,9,27.917,8.41,0.212,0.726,0.588,PZ16a,Synthetic construct
rnacomposeras1,1,100.0,2.751,0.281,0.796,0.81,PZ16a,Synthetic construct
rnacomposeras1,2,100.0,2.802,0.27,0.819,0.802,PZ16a,Synthetic construct
rnacomposeras1,4,100.0,2.407,0.312,0.81,0.808,PZ16a,Synthetic construct
rnacomposeras1,5,100.0,2.405,0.306,0.796,0.824,PZ16a,Synthetic construct
rnacomposeras1,6,100.0,2.214,0.298,0.81,0.813,PZ16a,Synthetic construct
rnacomposeras1,7,100.0,2.609,0.287,0.828,0.786,PZ16a,Synthetic construct
rnacomposeras1,8,100.0,2.041,0.328,0.892,0.817,PZ16a,Synthetic construct
rnacomposeras1,9,100.0,2.718,0.258,0.796,0.724,PZ16a,Synthetic construct
rnacomposeras2,10,100.0,2.041,0.326,0.77,0.779,PZ16a,Synthetic construct
rnacomposeras2,1,100.0,2.258,0.261,0.789,0.747,PZ16a,Synthetic construct
rnacomposeras2,2,93.121,3.716,0.42,0.84,0.795,PZ16a,Synthetic construct
rnacomposeras2,3,100.0,2.217,0.283,0.825,0.752,PZ16a,Synthetic construct
rnacomposeras2,4,100.0,2.36,0.269,0.789,0.756,PZ16a,Synthetic construct
rnacomposeras2,5,100.0,2.209,0.305,0.679,0.758,PZ16a,Synthetic construct
rnacomposeras2,6,100.0,2.43,0.323,0.841,0.79,PZ16a,Synthetic construct
rnacomposeras2,7,100.0,2.381,0.281,0.74,0.802,PZ16a,Synthetic construct
rnacomposeras2,8,100.0,1.881,0.303,0.77,0.758,PZ16a,Synthetic construct
rnacomposeras2,9,100.0,2.813,0.235,0.745,0.788,PZ16a,Synthetic construct
rw3das1,10,98.394,4.852,0.272,0.637,0.656,PZ16a,Synthetic construct
rw3das1,1,50.161,5.038,0.237,0.637,0.624,PZ16a,Synthetic construct
rw3das1,2,97.552,4.844,0.26,0.626,0.634,PZ16a,Synthetic construct
rw3das1,3,97.631,4.786,0.26,0.583,0.625,PZ16a,Synthetic construct
rw3das1,4,94.855,4.817,0.249,0.573,0.626,PZ16a,Synthetic construct
rw3das1,5,91.858,4.993,0.274,0.541,0.65,PZ16a,Synthetic construct
rw3das1,6,40.22,5.79,0.218,0.583,0.564,PZ16a,Synthetic construct
rw3das1,7,98.066,4.896,0.267,0.605,0.612,PZ16a,Synthetic construct
rw3das1,8,98.801,4.888,0.245,0.626,0.647,PZ16a,Synthetic construct
rw3das1,9,47.477,5.217,0.244,0.616,0.645,PZ16a,Synthetic construct
rw3das2,10,98.901,4.47,0.251,0.713,0.656,PZ16a,Synthetic construct
rw3das2,1,100.0,1.906,0.246,0.877,0.792,PZ16a,Synthetic construct
rw3das2,2,100.0,4.852,0.27,0.774,0.705,PZ16a,Synthetic construct
rw3das2,3,40.32,5.247,0.252,0.637,0.63,PZ16a,Synthetic construct
rw3das2,4,45.886,5.557,0.274,0.686,0.687,PZ16a,Synthetic construct
rw3das2,5,100.0,4.901,0.268,0.74,0.695,PZ16a,Synthetic construct
rw3das2,6,100.0,1.523,0.381,0.877,0.838,PZ16a,Synthetic construct
rw3das2,7,100.0,1.661,0.271,0.841,0.816,PZ16a,Synthetic construct
rw3das2,8,100.0,1.688,0.337,0.86,0.831,PZ16a,Synthetic construct
rw3das2,9,98.166,4.805,0.266,0.637,0.625,PZ16a,Synthetic construct
simrnaas1,1,95.875,4.339,0.212,0.667,0.069,PZ16a,Synthetic construct
simrnaas1,2,82.295,4.898,0.223,0.594,0.031,PZ16a,Synthetic construct
simrnaas1,3,28.045,5.482,0.15,0.573,0.007,PZ16a,Synthetic construct
simrnaas2,1,98.459,4.508,0.234,0.678,0.092,PZ16a,Synthetic construct
simrnaas2,2,87.533,4.912,0.257,0.72,0.009,PZ16a,Synthetic construct
simrnaas2,3,96.874,4.758,0.216,0.626,0.059,PZ16a,Synthetic construct
szachniuk,10,100.0,2.041,0.326,0.77,0.779,PZ16a,Synthetic construct
szachniuk,1,100.0,2.258,0.261,0.789,0.747,PZ16a,Synthetic construct
szachniuk,2,93.121,3.716,0.42,0.84,0.795,PZ16a,Synthetic construct
szachniuk,3,100.0,2.217,0.283,0.825,0.752,PZ16a,Synthetic construct
szachniuk,4,100.0,2.36,0.269,0.789,0.756,PZ16a,Synthetic construct
szachniuk,5,100.0,2.209,0.305,0.679,0.758,PZ16a,Synthetic construct
szachniuk,6,100.0,2.43,0.323,0.841,0.79,PZ16a,Synthetic construct
szachniuk,7,100.0,2.381,0.281,0.74,0.802,PZ16a,Synthetic construct
szachniuk,8,100.0,1.881,0.303,0.77,0.758,PZ16a,Synthetic construct
szachniuk,9,100.0,2.813,0.235,0.745,0.788,PZ16a,Synthetic construct
3drnaas2,1,82.488,4.531,0.353,0.787,0.683,PZ16b,Synthetic construct
3drnaas2,2,86.334,4.419,0.377,0.875,0.685,PZ16b,Synthetic construct
3drnaas2,3,42.132,5.72,0.361,0.729,0.637,PZ16b,Synthetic construct
3drnaas2,4,82.402,4.572,0.359,0.858,0.708,PZ16b,Synthetic construct
3drnaas2,5,100.0,1.904,0.363,0.892,0.8,PZ16b,Synthetic construct
3drnaas2,6,100.0,1.904,0.363,0.892,0.8,PZ16b,Synthetic construct
3drnaas2,7,100.0,1.904,0.363,0.892,0.8,PZ16b,Synthetic construct
3drnaas2,8,48.341,4.944,0.361,0.748,0.68,PZ16b,Synthetic construct
3drnaas2,9,100.0,2.883,0.369,0.877,0.769,PZ16b,Synthetic construct
chen,10,3.575,15.708,0.137,0.333,0.283,PZ16b,Synthetic construct
chen,2,26.925,7.2,0.221,0.59,0.486,PZ16b,Synthetic construct
chen,3,30.379,7.276,0.236,0.622,0.485,PZ16b,Synthetic construct
chen,4,3.582,15.794,0.157,0.221,0.258,PZ16b,Synthetic construct
chen,5,4.867,16.39,0.161,0.354,0.286,PZ16b,Synthetic construct
chen,6,5.202,15.547,0.119,0.414,0.267,PZ16b,Synthetic construct
chen,7,5.052,16.367,0.113,0.333,0.329,PZ16b,Synthetic construct
chen,8,4.917,15.745,0.136,0.333,0.325,PZ16b,Synthetic construct
chen,9,4.995,16.285,0.134,0.404,0.354,PZ16b,Synthetic construct
lee,10,100.0,4.876,0.238,0.583,0.552,PZ16b,Synthetic construct
lee,1,98.844,4.018,0.247,0.616,0.585,PZ16b,Synthetic construct
lee,2,100.0,3.948,0.234,0.616,0.599,PZ16b,Synthetic construct
lee,3,99.95,3.591,0.233,0.605,0.613,PZ16b,Synthetic construct
lee,4,98.651,4.236,0.241,0.647,0.58,PZ16b,Synthetic construct
lee,5,98.523,4.708,0.26,0.648,0.583,PZ16b,Synthetic construct
lee,6,100.0,3.803,0.246,0.605,0.607,PZ16b,Synthetic construct
lee,7,98.708,4.056,0.243,0.616,0.552,PZ16b,Synthetic construct
